0.html	P	http://chosen-foods.com/products/chia-seeds
1.html	P	http://chosen-foods.com/products/avocado-oil
2.html	P	http://chosen-foods.com/products/avocado-oil
3.html	P	http://chosen-foods.com/products/chia-seeds
4.html	P	http://holiday.microsoftstore.com/store/msusa/en_US/html/pbPage.PDPS/Surface-Pro/productID.275287300
5.html	P	http://holiday.microsoftstore.com/store/msusa/en_US/html/pbPage.PDP/Skylanders-SWAP-Force-Starter-Pack-for-Xbox-360/productID.283176600
6.html	P	http://holiday.microsoftstore.com/store/msusa/en_US/html/pbPage.PDP/Gears-of-War-Judgment-for-Xbox-360/productID.255753600
7.html	P	http://holiday.microsoftstore.com/store/msusa/en_US/html/pbPage.PDP/Beats-by-Dr.-Dre-Solo-RED-Edition-On-Ear-Headphones/productID.258410100
8.html	P	http://holiday.microsoftstore.com/store/msusa/en_US/html/pbPage.PDP/Call-of-Duty-Ghosts-for-Xbox-One/productID.282207400
9.html	P	http://navitasnaturals.com/product/369/Cacao-Butter.html
10.html	P	http://navitasnaturals.com/product/369/Cacao-Butter-16oz.html
11.html	P	http://navitasnaturals.com/product/378/Cacao-Sweet-Nibs.html
12.html	P	http://navitasnaturals.com/product/378/Cacao-Nibs-Sweetened-4oz.html
13.html	P	http://navitasnaturals.com/product/363/Acai-Powder.html
14.html	P	http://prepaid-phones.t-mobile.com/prepaid-phone/T-Mobile-Nano-SIM-Card-Prepaid
15.html	P	http://prepaid-phones.t-mobile.com/prepaid-phone/T-Mobile-Prepaid-SIM-Activation-Kit-No-Annual-Contract
16.html	P	http://prepaid-phones.t-mobile.com/prepaid-phones/smartphones
17.html	P	http://prepaid-phones.t-mobile.com/prepaid-phones
18.html	P	http://prepaid-phones.t-mobile.com/prepaid-phones/refurbished
19.html	P	http://sheets.com/accent-pillows/solids/broxton-cotton-shag-polyester-pillow-cover-18-x-18-square-2-pce-hidden-zipper-9237
20.html	P	http://sheets.com/hidden-zipper-pillow-protector-cotton-damask-cover-9239
21.html	P	http://sheets.com/covers/35-x-55-crib-alt-down-blanket-flanged-eucalyptus-fill-cotton-cover-9214
22.html	P	http://sheets.com/comforters/comforter-sets-and-bed-in-a-bag/gazania-7-pce-hypo-allergenic-comforter-set-poly-microfiber-cover-poly-filled-9146
23.html	P	http://sheets.com/comforters/down-comforters/x-warm-hypo-allergenic-305tc-comforter-midwht-600-fp-down-filled-polycottn-eucalyptus-cvr-baffle-box-9342
24.html	P	http://shop.nordstrom.com/s/stride-rite-duckling-bootie-baby-walker/3107142
25.html	P	http://shop.nordstrom.com/s/stride-rite-dawn-mary-jane-baby-walker-toddler/3642713
26.html	P	http://shop.nordstrom.com/s/stila-retractable-powder-brush/3384940
27.html	P	http://shop.nordstrom.com/s/steve-madden-work-it-out-pants/3561580
28.html	P	http://shop.nordstrom.com/s/steve-madden-strayed-sneaker-little-kid-big-kid/3572044
29.html	P	http://shopping.hp.com/en_US/home-office/-/products/Ink_Toner_Paper/Printheads/C9410A
30.html	P	http://shopping.hp.com/en_US/home-office/-/products/Laptops/Chromebook/F0G99UA;pgid=EdNQvc4lM1hSRpWR7DDy74uK0000-xGntv39;sid=1BZFZi0FHgNAZn-UinJZ6_UK5Ll58h2q6IIUHnBRU5oPp7vd4zaJRGhh?HP-Chromebook-14-q010nr-ENERGY-STAR-
31.html	P	http://shopping.hp.com/en_US/home-office/-/products/Laptops/Chromebook/F0G99UA;pgid=EdNQvc4lM1hSRpWR7DDy74uK0000PIzgAC3d;sid=8Z1J2mBgxJlY2jLwF81VV7hvwTJ1Tufsu1wC_Co_dhEDG_a4xr14uj8H?HP-Chromebook-14-q010nr-ENERGY-STAR-
